sample_id,status,hausdorff_distance,num_nodes_pred,num_nodes_gt,num_edges_pred,num_edges_gt,num_components_pred,error_message
S2265-2_a,skipped,,,,,,,missing_label
S2265-2_b,skipped,,,,,,,missing_label
S2266-2_a,skipped,,,,,,,missing_label
S2266-2_b,skipped,,,,,,,missing_label
S2269-2_a,skipped,,,,,,,missing_label
S2269-2_b,skipped,,,,,,,missing_label
S2272-2_a,skipped,,,,,,,missing_label
S2272-2_b,skipped,,,,,,,missing_label
S231-2_a,skipped,,,,,,,missing_label
S231-2_b,skipped,,,,,,,missing_label
S2311-2_a,skipped,,,,,,,missing_label
S2311-2_b,skipped,,,,,,,missing_label
S2331-2_a,skipped,,,,,,,missing_label
S2331-2_b,skipped,,,,,,,missing_label
S2341-2_a,skipped,,,,,,,missing_label
S2341-2_b,skipped,,,,,,,missing_label
S236-2_a,success,10.728664458404163,1832,3267,1677,3204,155,
S236-2_b,success,7.472845273788616,1869,1906,1733,1845,136,
S2380-2_a,skipped,,,,,,,missing_label
S2380-2_b,skipped,,,,,,,missing_label
S2384-2_a,skipped,,,,,,,missing_label
S2384-2_b,skipped,,,,,,,missing_label
S2433-2_a,skipped,,,,,,,missing_label
S2433-2_b,skipped,,,,,,,missing_label
S2437-2_a,skipped,,,,,,,missing_label
S2437-2_b,skipped,,,,,,,missing_label
S2450-2_a,skipped,,,,,,,missing_label
S2450-2_b,skipped,,,,,,,missing_label
S2483-2_a,skipped,,,,,,,missing_label
S2483-2_b,skipped,,,,,,,missing_label
S2502-2_a,skipped,,,,,,,missing_label
S2502-2_b,skipped,,,,,,,missing_label
S2539-2_a,skipped,,,,,,,missing_label
S2539-2_b,skipped,,,,,,,missing_label
S255-2_a,skipped,,,,,,,missing_label
S255-2_b,skipped,,,,,,,missing_label
S2576-2_a,skipped,,,,,,,missing_label
S2576-2_b,skipped,,,,,,,missing_label
S2644-2_a,skipped,,,,,,,missing_label
S2644-2_b,skipped,,,,,,,missing_label
S2745-2_a,skipped,,,,,,,missing_label
S2745-2_b,skipped,,,,,,,missing_label
S2847-2_a,skipped,,,,,,,missing_label
S2847-2_b,skipped,,,,,,,missing_label
S2935-2_a,skipped,,,,,,,missing_label
S2935-2_b,skipped,,,,,,,missing_label
S296-2_a,skipped,,,,,,,missing_label
S296-2_b,skipped,,,,,,,missing_label
S3007-2_a,skipped,,,,,,,missing_label
S3007-2_b,skipped,,,,,,,missing_label
S3091-2_a,skipped,,,,,,,missing_label
S3091-2_b,skipped,,,,,,,missing_label
S3169-2_a,skipped,,,,,,,missing_label
S3169-2_b,skipped,,,,,,,missing_label
S3282-2_a,skipped,,,,,,,missing_label
S3282-2_b,skipped,,,,,,,missing_label
S3289-2_a,skipped,,,,,,,missing_label
S3289-2_b,skipped,,,,,,,missing_label
S3293-2_a,skipped,,,,,,,missing_label
S3293-2_b,skipped,,,,,,,missing_label
S3318-2_a,skipped,,,,,,,missing_label
S3318-2_b,skipped,,,,,,,missing_label
S3329-2_a,skipped,,,,,,,missing_label
S3329-2_b,skipped,,,,,,,missing_label
S341-2_a,success,4.867030614781126,1804,2759,1552,2687,252,
